reviewId,bank,text,rating,sentiment,vader_label,bert_label,xgb_pred,roberta_pred
d658f4cd-ed2d-40a4-92be-5f86d3ab9555,Monzo,easy to use the app doesn't seem to crash like most other banking apps.,4,Positive,Positive,Positive,Positive,Positive
9ee099fe-bed8-438a-b277-69f4942fab10,Monzo,very easy to use,5,Positive,Positive,Positive,Positive,Positive
e4e0555c-1bca-426f-96c0-8f4fb50f302c,Monzo,overall fantastic piece of equipment tools,5,Positive,Positive,Positive,Positive,Positive
93f9fbaf-2dd6-45c6-a6ed-e3f8ab2020ba,Monzo,Perhaps the best mobile app I've ever used?,5,Positive,Positive,Positive,Positive,Positive
cb3fbe55-ce81-4141-9d1a-c3fb0c00ac0f,Monzo,Brilliant bank! Lots of good things about them such as the possibility of getting a double pay day. They also provide cashback and lots of other perks such as pay in 3 with no interest!,5,Positive,Positive,Positive,Positive,Positive
225232ed-420f-4477-aedf-6535b25c9c82,Monzo,love this,5,Positive,Positive,Positive,Positive,Positive
5b19e285-ae41-46dc-b14f-3e8ea6fd2364,Monzo,all features are 👍,5,Positive,Neutral,Positive,Positive,Positive
3fe47967-8af3-4407-8416-1721dd82208e,Monzo,It was good to use Monzo. I have enjoyed it a lot,4,Positive,Positive,Positive,Positive,Positive
3123c3bb-abe8-4aa2-9ca4-de77b032f13f,Monzo,"The absolute worst ""bank"" ever. I tried to send money abroad to a friend, they froze my account, closed it and I'm still waiting to get my 21k back. Over a week, because they prefer to give you hassle and put you in financial hardship in order to save themselves, if someone tries to scam you...",1,Negative,Negative,Negative,Negative,Negative
24724352-0385-42b4-a8f4-576a2e16e960,Monzo,It has really helped me to manage my money better,5,Positive,Positive,Positive,Positive,Positive
29ffc8ae-e852-4088-821d-7340f057fa48,Monzo,best banking app so far,5,Positive,Positive,Positive,Positive,Positive
6a583ecd-a043-4d3a-a74c-edffd83fa513,Monzo,brilliant Banking online,5,Positive,Positive,Positive,Positive,Positive
47c66061-ebc2-4404-9ec0-f29baa040f27,Monzo,No longer properly scales on foldable devices,1,Negative,Negative,Negative,Positive,Negative
4a695049-eeb5-4ed1-a568-2240d70d9c3c,Monzo,Monzo didn't help me when I paid £600 to a fraudster.,2,Negative,Negative,Negative,Positive,Negative
7e3b7651-c3ba-4c03-9aff-ec2929f5fa80,Monzo,Simply the best bank ever to deal with 100/100,5,Positive,Positive,Positive,Positive,Positive
4cc55c54-7b20-4940-b1bc-23e445de3d95,Monzo,All time favourite.🤍 kind request to the team don't add unwanted features🙏🏻,4,Positive,Positive,Positive,Positive,Positive
0d1514be-499a-4ba3-b3cf-d679540f4823,Monzo,"Brilliant app features, easy to navigate. Lots of ways to manage your money. highly recommend.",5,Positive,Positive,Positive,Positive,Positive
7ad5691d-fc14-4c24-b5f9-52662e45bf04,Monzo,can't imagine banking any other way! so convenient and modern!,5,Positive,Neutral,Positive,Positive,Positive
320d531f-21d7-4e41-9d3f-a64caee055e0,Monzo,"easy to setup and use, with an appealing user interface.",5,Positive,Positive,Positive,Positive,Positive
7020b323-81c9-4fbe-b671-e09b6dde4c07,Monzo,love this app so much better for me an my money,5,Positive,Positive,Positive,Positive,Positive
cb055ff3-f96d-4d0a-82da-3bfd0bf0e18a,Monzo,Best banking app I've ever used! highly recommend,5,Positive,Positive,Positive,Positive,Positive
29ed007d-95a8-432c-8949-4afa169be244,Monzo,"brilliant app, love the pots and ISA options",5,Positive,Positive,Positive,Positive,Positive
fdd069df-85d0-44b4-bb64-dbe2a16e7dd0,Monzo,"Great banking app, and fairly easy to use and get insights",5,Positive,Positive,Positive,Positive,Positive
a3da8dd9-df28-45f6-97f7-9a85fd723c5d,Monzo,THEE BEST APP AND BANK!!!,5,Positive,Positive,Positive,Positive,Positive
ab01d42a-f0ff-4fb5-9813-dea66cfb7de5,Monzo,fast and very responsive. security of the user is top priority.,4,Positive,Positive,Positive,Positive,Positive
f867d67d-7777-44df-a372-4d644d09ffeb,Monzo,"I’ve been using the app for a while and it’s one of the best banking apps I’ve tried. The interface is clean and easy to use, with instant notifications and helpful budgeting tools that make managing money simple. Overall, it’s a smooth, modern banking experience that I’d definitely recommend.",5,Positive,Positive,Positive,Positive,Positive
b82c14a0-36be-4f98-b602-54e67b77dde3,Monzo,happy,5,Positive,Positive,Positive,Positive,Positive
bf092509-e34d-4c1f-9ec3-852ae2d58a4c,Monzo,amazing bank and service,5,Positive,Positive,Positive,Positive,Positive
687fdcca-0c7b-41c5-a334-c7e1a50ca630,Monzo,excellent banking app,5,Positive,Positive,Positive,Positive,Positive
f28b2260-dfc1-4b31-af3d-afd53e72e2e0,Monzo,"Just closed my personal account with Monzo because it blocked payments for 300£. After calling me the adviser in telling me she's there to help, she asked screenshot of my friend conversation on WhatsApp to see the bank details that he provided in order to pass the payment. After that my account was frozen for 48 hours without any explanations. I wrote second day for update and I was ignored in throwing me long usual texts. I had to believe the reviews when I read them..",1,Negative,Positive,Negative,Negative,Negative
57315072-1ea7-450b-81a6-ec24a483485f,Monzo,the best,5,Positive,Positive,Positive,Positive,Positive
7537096a-de55-4fdb-933b-42b9e86842b8,Monzo,the best bank I've ever had!,5,Positive,Positive,Positive,Positive,Positive
b921531c-9a32-4f54-8f5d-e6db5ecd5ab0,Monzo,"Absolutely love this bank, interest on current account, easy, clear and smooth app and regular payments are available a day early. wish I'd switched years ago",5,Positive,Positive,Positive,Positive,Positive
36f739d5-ff3f-4d1c-825c-ae3a43ee3b57,Monzo,"Opened accounts for my children to use for ad-hoc savings without realising that you have to create savings 'pots' to actually earn any interest, so the money was sat in the account only earning Monzo money for a month instead. The app itself is messy and unintuitive, aimed more at upselling than anything else.",1,Negative,Positive,Negative,Positive,Negative
7e398905-ed4c-4692-8510-9b2bc0280d02,Monzo,worth it!,5,Positive,Positive,Positive,Positive,Positive
9c75d5c9-397c-4f12-8505-54730c36a2c2,Monzo,It's very good but it keeps logging me out of the app,4,Positive,Positive,Positive,Negative,Positive
afd1b1b9-6f3d-42a4-a0af-38a7b679df3d,Monzo,Best banking app ever! Can't fault at all and recommend it to anyone,5,Positive,Positive,Positive,Positive,Positive
af865e68-ed3b-4f1d-b06a-dc5e5605f458,Monzo,"Incredible since day 1, have switched to Monzo as my main bank and it's been nothing short of amazing and streamlined and helps me keep track of my finances easier than ever. Not to mention the amazing features the Max plan offers which is infinitely worth it IMO. Worth every penny",5,Positive,Positive,Positive,Positive,Positive
0d0ce5db-8191-46b8-b464-f98ba390872d,Monzo,Excellent,5,Positive,Positive,Positive,Positive,Positive
10b1f550-df39-4fd9-abc8-68748f234adb,Monzo,easy to keep track of bills when they arebdue because it tells you the day before what's due out,5,Positive,Positive,Neutral,Positive,Positive
ab8efb07-fb56-4b19-9d0e-5bfe3892046b,Monzo,Excellent banking app,5,Positive,Positive,Positive,Positive,Positive
22fd1251-4fe9-4127-8983-b009c0b42f3e,Monzo,okay,4,Positive,Positive,Neutral,Positive,Positive
9f323576-15f3-4c83-823a-03b84b97da36,Monzo,brilliant,5,Positive,Positive,Positive,Positive,Positive
b058067f-86cf-4855-b2bc-41b4f9e23d77,Monzo,very good service,5,Positive,Positive,Positive,Positive,Positive
ea298b48-af98-45b9-aba5-c91cb65afcba,Monzo,"Trash. Their verification process is horrible, they keep asking for more and more photos of you holding your ID and asking for ""clearer"" photos. Ridiculous bank.",1,Negative,Negative,Negative,Negative,Negative
fe114c7d-76f6-49bd-be5a-d7db4a5c04cc,Monzo,"can not speak highly enough about Monzo, everything is so simple and clear, online help always on point and up to 10 minutes ago they was a 5 star rating, unfortunately tho after learning that coffers is an old time money storing thingy i wanted to change my account name to it and sadly realised its the basic names on the accounts only and no silly name changes allowed.",4,Positive,Negative,Positive,Positive,Positive
d8882780-34d7-4a6d-b8cc-ae2be76a0b0d,Monzo,I've been using it for a few years and really like it. 4* because it would be better if it had a direct chat with an operator/human interface,4,Positive,Positive,Positive,Positive,Positive
aa6b8fbb-acd2-48ca-98f0-b037164815de,Monzo,"Best online bank, hands down. I've been with them for years now and i don't see myself ever leaving. I particularly love the get paid early perk, sometimes it is necessary.",5,Positive,Positive,Positive,Positive,Positive
19138f79-91d3-42e3-bf96-7bafdd9fd328,Monzo,wonderfull system,5,Positive,Neutral,Positive,Positive,Positive
bb79ab9a-92bc-42df-b94b-55d11e87fcf9,Monzo,Rubbish App. Only works with particular versions of Android,1,Negative,Neutral,Negative,Negative,Negative
4100048f-8d9a-42dc-90f2-66a915ec60e1,Monzo,worst customer support. closed my account randomly without any explanation 🤬,1,Negative,Negative,Negative,Negative,Negative
edd37709-9189-4bcc-a6b5-b10012c87da9,Monzo,"Lovely Bank, Smart app",5,Positive,Positive,Positive,Positive,Positive
1530844f-9795-4b31-a2a0-136439ca1490,Monzo,perfect customer service and the features on the app is brilliant,5,Positive,Positive,Positive,Positive,Positive
d59544c4-9ec2-4710-abd5-eac31356655d,Monzo,very good bank with great benefits.hihhky recommended,5,Positive,Positive,Positive,Positive,Positive
963c862f-552e-4b34-be39-a31ce187079f,Monzo,"Excellent all rounder, great customer service agents.",5,Positive,Positive,Positive,Positive,Positive
ede225cb-0296-4315-a6dc-d38334292a29,Monzo,easy to use,5,Positive,Positive,Positive,Positive,Positive
49df5c2f-7837-43a1-99d9-645db36dbf4f,Monzo,"This should be minus. Monzo legitimately has the single worst and rudest customer service team in the world. none of them can read, none of them can take in simple information. at all. online banks shouldnt be allowed to get away with this behaviour. i will be closing my account/s (i have a business account too) shortly. do not trust your money with Monzo.",1,Negative,Negative,Negative,Negative,Negative
115de5c2-dad2-401d-a515-ca8b38fbc479,Monzo,very rubbish,1,Negative,Neutral,Negative,Negative,Negative
ed80de4f-e1dd-4370-8573-43259b01ea51,Monzo,nice experience,5,Positive,Positive,Positive,Positive,Positive
cdc309f1-b20d-43da-a6d6-072eb51c4282,Monzo,"This is not some kind of exaggerated review but this bank is actually really reliable been using it for over 2 years now, it's great for wages and also for making transfers also used it abroad as well. The only thing I wish they had was a customisable card where you could put any picture on it.",5,Positive,Positive,Positive,Positive,Positive
f502e48a-806d-490b-b947-46c0465e313d,Monzo,excellent,5,Positive,Positive,Positive,Positive,Positive
6dd9f491-5a96-492c-8fdc-9d13e9b3c291,Monzo,Monzo is the best bank allowing you access to your money early,5,Positive,Positive,Positive,Positive,Positive
435ddcbc-bfeb-4e47-81fc-9c29a3e31bf8,Monzo,beautiful,5,Positive,Positive,Positive,Positive,Positive
